Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
car_frame,-0.0699924818342787,4.77678334086129E-09,0.255859857265834,0,0,0,4.36726752622478,0.120130237589006,2.47975489092032E-06,-3.27227207152213E-05,0.191286662671252,2.68106185501836E-10,0.301245720968891,0,0,0,0,0,0,package://sw5/meshes/car_frame.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://sw5/meshes/car_frame.STL,,BASE 상-3-1;PART ASS'Y-2-1/BASE 하-3-2;PART ASS'Y-2-1/PLATE SUPPORT SHAFT-8;PART ASS'Y-2-1/PLATE SUPPORT SHAFT-1;PART ASS'Y-2-1/T PLATE-1-1;PART ASS'Y-2-1/PLATE SUPPORT SHAFT-2;PART ASS'Y-2-1/PLATE SUPPORT SHAFT-10;PART ASS'Y-2-1/PLATE SUPPORT SHAFT-3;PART ASS'Y-2-1/감속기 부착 ASS'Y-2/MOTOR(MSMF012L1T2-100W)-3;PART ASS'Y-2-1/PLATE SUPPORT SHAFT-11;PART ASS'Y-2-1/PLATE SUPPORT SHAFT-7;PART ASS'Y-2-1/감속기 부착 ASS'Y-2/KSBL - 44-1 30-46-M4-S8-5/KSBL - 44-1 30-46-M4-S8.stp-1/44-BK(30-46-M4).stp-1;PART ASS'Y-2-1/감속기 부착 ASS'Y-2/KSBL - 44-1 30-46-M4-S8-5/KSBL - 44-1 30-46-M4-S8.stp-1/KSBL-44-1.stp-1;PART ASS'Y-2-1/감속기 부착 ASS'Y-2/motor plate-3-2;PART ASS'Y-2-1/감속기 부착 ASS'Y-1/MOTOR(MSMF012L1T2-100W)-3;PART ASS'Y-2-1/감속기 부착 ASS'Y-1/KSBL - 44-1 30-46-M4-S8-5/KSBL - 44-1 30-46-M4-S8.stp-1/44-BK(30-46-M4).stp-1;PART ASS'Y-2-1/감속기 부착 ASS'Y-1/KSBL - 44-1 30-46-M4-S8-5/KSBL - 44-1 30-46-M4-S8.stp-1/KSBL-44-1.stp-1;PART ASS'Y-2-1/감속기 부착 ASS'Y-1/motor plate-3-2;PART ASS'Y-2-1/UCP201-2;PART ASS'Y-2-1/BEARING JOINT SHAFT-1;PART ASS'Y-2-1/지지대-3-1;PART ASS'Y-2-1/지지대-2-1;PART ASS'Y-2-1/지지대-1;PART ASS'Y-2-1/PLATE SUPPORT SHAFT-9,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
swing_link,-0.0273355916585125,-0.0287903676257647,2.89027422769365E-08,0,0,0,1.44344385530313,0.00529337280538952,-3.64864367307062E-06,-2.47940935716826E-06,0.00598687173589354,5.36294117235269E-10,0.00290322324922313,0,0,0,0,0,0,package://sw5/meshes/swing_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://sw5/meshes/swing_link.STL,,PART ASS'Y-1-1/T PLATE-2-1;PART ASS'Y-1-1/UCP201-2;PART ASS'Y-1-1/UCP201-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-2/MOTOR(MSMF012L1T2-100W)-3;PART ASS'Y-1-1/감속기 부착 ASS'Y-2/KSBL - 44-1 30-46-M4-S8-5/KSBL - 44-1 30-46-M4-S8.stp-1/KSBL-44-1.stp-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-2/KSBL - 44-1 30-46-M4-S8-5/KSBL - 44-1 30-46-M4-S8.stp-1/44-BK(30-46-M4).stp-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-2/motor plate-3-2;PART ASS'Y-1-1/감속기 부착 ASS'Y-1/MOTOR(MSMF012L1T2-100W)-3;PART ASS'Y-1-1/감속기 부착 ASS'Y-1/KSBL - 44-1 30-46-M4-S8-5/KSBL - 44-1 30-46-M4-S8.stp-1/44-BK(30-46-M4).stp-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-1/KSBL - 44-1 30-46-M4-S8-5/KSBL - 44-1 30-46-M4-S8.stp-1/KSBL-44-1.stp-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-1/motor plate-3-2,Origin_swing_joint3,,swing_joint,revolute,0.256,0,0.14713,1.5708,0,0,car_frame,1,0,0,0,0,-0.2,0.2,,,,,,,,
inner_gaer_fr,5.68499051889493E-07,7.63716316804983E-05,-0.0149805703213809,0,0,0,0.0110327332596441,4.80829060566523E-06,-3.01977896116383E-11,1.64764447803556E-10,4.80952617762222E-06,-3.00538459560614E-08,7.04246785452798E-07,0,0,0,0,0,0,package://sw5/meshes/inner_gaer_fr.STL,0,1,0,1,0,0,0,0,0,0,package://sw5/meshes/inner_gaer_fr.STL,,PART ASS'Y-1-1/감속기 부착 ASS'Y-2/작은 스퍼기어1-5차측-1,Origin_inner_gaer_fr_joint,,inner_gaer_fr_joint,continuous,0,-0.133,0.32225,0,0,-0.059958,swing_link,0,0,-1,,,,,,,,,,,,
inner_wheel_fr,-0.0026183231347941,0.0436166291145295,-0.0104233484656811,0,0,0,0.257556919292698,0.000352310782843601,-1.12191004252328E-06,-2.1208829372609E-07,0.000370932469728746,3.53301558696694E-06,0.000683104052806643,0,0,0,0,0,0,package://sw5/meshes/inner_wheel_fr.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://sw5/meshes/inner_wheel_fr.STL,,PART ASS'Y-1-1/감속기 부착 ASS'Y-2/INEER WHE-2EL-5,Origin_inner_gaer_fr_joint,,inner_wheel_fr_joint,continuous,0,-0.133,0.32225,0,0,-0.059958,swing_link,0,0,-1,,,,,,,,,,,,
wheel_fr,-0.00156273970588594,-0.000131316876807508,2.79373952472017E-07,0,0,0,0.165142633558275,0.000907319831290132,9.21658701292537E-09,-1.96276226441667E-11,0.000464100110679714,-3.35033565770936E-09,0.000462525250528816,0,0,0,0,0,0,package://sw5/meshes/wheel_fr.STL,0.796078431372549,0.623529411764706,1,1,0,0,0,0,0,0,package://sw5/meshes/wheel_fr.STL,,PART ASS'Y-1-1/감속기 부착 ASS'Y-2/바깥 스퍼 기어(감속기)-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-2/outer cage_Ball Typ_홈깊게-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-2/tire160_돌출_홈깊게-1,Origin_inner_wheel_fr_joint,,wheel_fr_joint,continuous,-0.0028763,0.047914,-0.00725,0.059958,1.5708,0,inner_wheel_fr,1,0,0,,,,,,,,,,,,
marker_fr,-5.55111512312578E-17,0.0657584488911421,0.00480000000000003,0,0,0,0.000114550322131508,5.51015379256761E-09,-2.09205609142025E-22,-2.65667784652446E-22,1.11203301237221E-07,-3.15511108818623E-24,1.16713264112585E-07,0,0,0,0,0,0,package://sw5/meshes/marker_fr.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://sw5/meshes/marker_fr.STL,,PART ASS'Y-1-1/감속기 부착 ASS'Y-2/marker-1,Origin_marker_fr_joint,Axis_marker_fr_joint,marker_fr_joint,fixed,-0.0102499999999998,0,0,-1.5707963267949,-1.55207700478783,1.5707963267949,wheel_fr,0,0,0,,,,,,,,,,,,
cover_fr,-9.94446145005656E-05,-1.24187237701134E-05,-0.00141090609422095,0,0,0,0.0355492073745058,3.76248166455624E-05,3.36004195884918E-08,-5.61507233129705E-09,3.88759680999378E-05,-7.02195906235156E-10,7.64579543953779E-05,0,0,0,0,0,0,package://sw5/meshes/cover_fr.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://sw5/meshes/cover_fr.STL,,PART ASS'Y-1-1/감속기 부착 ASS'Y-2/맨겉뚜껑_v3-1-1,Origin_cover_fr_joint,Axis_cover_fr_joint,cover_fr_joint,fixed,-0.0028762806962761,0.0479137455158353,0.00774999999999976,3.14159265358979,0,-3.08163422030933,inner_wheel_fr,0,0,0,,,,,,,,,,,,
inner_gear_fl,5.68499051945004E-07,7.63716316805017E-05,-0.0149805703213809,0,0,0,0.011032733259644,4.80829060566522E-06,-3.01977896133059E-11,1.64764447801052E-10,4.80952617762221E-06,-3.00538459560614E-08,7.04246785452794E-07,0,0,0,0,0,0,package://sw5/meshes/inner_gear_fl.STL,0,1,0,1,0,0,0,0,0,0,package://sw5/meshes/inner_gear_fl.STL,,PART ASS'Y-1-1/감속기 부착 ASS'Y-1/작은 스퍼기어1-5차측-1,Origin_inner_gear_fl_joint,,inner_gear_fl_joint,continuous,0,-0.133,-0.32225,3.1416,0,-3.0816,swing_link,0,0,1,,,,,,,,,,,,
inner_wheel_fl,-0.00261832313479415,0.0436166291145294,-0.0104233484656811,0,0,0,0.257556919292698,0.000352310782843601,-1.12191004252329E-06,-2.12088293726098E-07,0.000370932469728746,3.53301558696702E-06,0.000683104052806642,0,0,0,0,0,0,package://sw5/meshes/inner_wheel_fl.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://sw5/meshes/inner_wheel_fl.STL,,PART ASS'Y-1-1/감속기 부착 ASS'Y-1/INEER WHE-2EL-5,Origin_inner_gear_fl_joint,,inner_wheel_fl_joint,continuous,0,-0.133,-0.32225,3.1416,0,-3.0816,swing_link,0,0,1,,,,,,,,,,,,
wheel_fl,-0.00156273970588583,0.000131316876807612,-2.79373952027928E-07,0,0,0,0.165142633558274,0.000907319831290129,-9.21658701263884E-09,1.96276228593807E-11,0.000464100110679713,-3.35033565682568E-09,0.000462525250528813,0,0,0,0,0,0,package://sw5/meshes/wheel_fl.STL,0.796078431372549,0.623529411764706,1,1,0,0,0,0,0,0,package://sw5/meshes/wheel_fl.STL,,PART ASS'Y-1-1/감속기 부착 ASS'Y-1/바깥 스퍼 기어(감속기)-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-1/outer cage_Ball Typ_홈깊게-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-1/tire160_돌출_홈깊게-1,Origin_inner_wheel_fl_joint,,wheel_fl_joint,continuous,-0.0028763,0.047914,-0.00725,3.0816,1.5708,0,inner_wheel_fl,-1,0,0,,,,,,,,,,,,
